time_s,d1_true,d1_pred,d2_true,d2_pred,d3_true,d3_pred,d4_true,d4_pred,pitch_true,pitch_pred,roll_true,roll_pred,d_mean_true,d_mean_pred
1.3203125,6.264127254486084,6.184153079986572,5.992931842803955,6.07257604598999,6.618072032928467,6.628040313720703,6.862952709197998,6.914275169372559,0.9760000109672546,0.7360341548919678,1.5180000066757202,1.4819095134735107,6.434520959854126,6.449761152267456
1.34375,6.33990478515625,6.212345123291016,6.047863960266113,6.072865962982178,6.636793613433838,6.612284183502197,6.923920154571533,6.928305625915527,0.9909999966621399,0.8110880255699158,1.5,1.4293255805969238,6.487120628356934,6.4564502239227295
1.3671875,6.219874382019043,6.141923904418945,5.992931842803955,6.007648468017578,6.581081390380859,6.563174724578857,6.842973709106445,6.858024597167969,1.0010000467300415,0.8122971057891846,1.4789999723434448,1.4488849639892578,6.409215331077576,6.392692923545837
1.3828125,6.219874382019043,6.121490478515625,5.965980529785156,5.989885330200195,6.636793613433838,6.543861389160156,6.707674503326416,6.8279194831848145,1.00600004196167,0.803608775138855,1.4589999914169312,1.4439904689788818,6.382580757141113,6.370789170265198
1.40625,6.190857887268066,6.101335525512695,5.926175117492676,5.956483840942383,6.526695728302002,6.508771896362305,6.823162078857422,6.809314250946045,1.0069999694824219,0.8590733408927917,1.437999963760376,1.4312224388122559,6.3667227029800415,6.343976378440857
1.4296875,6.219874382019043,6.123836517333984,5.952630043029785,5.9539079666137695,6.544680118560791,6.514375686645508,6.903422832489014,6.842355728149414,1.0069999694824219,0.9238372445106506,1.4170000553131104,1.457594871520996,6.405151844024658,6.358618974685669
1.4453125,6.264127254486084,6.115110874176025,5.926175117492676,5.941742420196533,6.508852005004883,6.49308967590332,6.764708042144775,6.824070453643799,1.0069999694824219,0.9472742080688477,1.3949998617172241,1.429465889930725,6.3659656047821045,6.343503355979919
1.46875,6.162220001220703,6.11809778213501,5.926175117492676,5.931672096252441,6.508852005004883,6.494016647338867,6.862952709197998,6.842823028564453,1.0080000162124634,0.9819796085357666,1.375,1.4719306230545044,6.365049958229065,6.346652388572693
1.4921875,6.176492214202881,6.093057155609131,5.887094497680664,5.904544353485107,6.438850402832031,6.452357292175293,6.707674503326416,6.788382053375244,1.0149999856948853,0.9980749487876892,1.350000023841858,1.4234791994094849,6.302527904510498,6.309585213661194
1.5078125,6.249277591705322,6.092250823974609,5.887094497680664,5.879324913024902,6.404647350311279,6.4236650466918945,6.745542049407959,6.786919593811035,1.0230000019073486,1.067622184753418,1.3320000171661377,1.401411771774292,6.321640372276306,6.29554009437561
1.53125,6.190857887268066,6.097757339477539,5.926175117492676,5.90230655670166,6.3877387046813965,6.407930374145508,6.707674503326416,6.748918533325195,1.0379999876022339,1.0303196907043457,1.3109999895095825,1.3190611600875854,6.303111553192139,6.289228200912476
1.5546875,6.264127254486084,6.098469257354736,5.8360748291015625,5.8708882331848145,6.456148624420166,6.384057521820068,6.726531505584717,6.7623372077941895,1.055999994277954,1.128218412399292,1.2910000085830688,1.3213753700256348,6.320720553398132,6.278938055038452
1.5703125,6.078487873077393,6.046804428100586,5.786250114440918,5.817926406860352,6.370956897735596,6.347243309020996,6.707674503326416,6.7172160148620605,1.0770000219345093,1.121712565422058,1.2690000534057617,1.3484055995941162,6.235842347145081,6.2322975397109985
1.59375,6.106042861938477,6.035387992858887,5.7985968589782715,5.781192779541016,6.337765693664551,6.313177585601807,6.652000427246094,6.710285663604736,1.0989999771118164,1.1911907196044922,1.2480000257492065,1.356952428817749,6.223601460456848,6.210011005401611
1.6171875,6.092221736907959,6.019514083862305,5.848715782165527,5.791543483734131,6.3877387046813965,6.31793212890625,6.688968181610107,6.684901237487793,1.11899995803833,1.1129436492919922,1.2280000448226929,1.3412595987319946,6.254411101341248,6.20347273349762
1.640625,6.064839839935303,6.002665996551514,5.786250114440918,5.766406059265137,6.288885593414307,6.275516510009766,6.597629070281982,6.651236534118652,1.1399999856948853,1.1509697437286377,1.2070001363754272,1.3126227855682373,6.184401154518127,6.173956274986267
1.65625,6.119952201843262,6.021833896636963,5.786250114440918,5.76837158203125,6.225341320037842,6.264479637145996,6.615611553192139,6.651651382446289,1.1619999408721924,1.1919453144073486,1.184000015258789,1.277411699295044,6.18678879737854,6.1765841245651245
1.6796875,6.078487873077393,5.988376140594482,5.725575923919678,5.726210594177246,6.225341320037842,6.227109909057617,6.597629070281982,6.609079837799072,1.180999994277954,1.2153215408325195,1.1649999618530273,1.2666418552398682,6.156758546829224,6.1376941204071045
1.703125,6.0512776374816895,6.00756311416626,5.848715782165527,5.769864559173584,6.209736347198486,6.2217559814453125,6.527068138122559,6.585242748260498,1.2029999494552612,1.1477956771850586,1.1440000534057617,1.1680020093917847,6.159199476242065,6.146106600761414
1.71875,6.0512776374816895,5.9742326736450195,5.725575923919678,5.71432638168335,6.178853511810303,6.177645683288574,6.562078475952148,6.5533528327941895,1.2239999771118164,1.217443585395813,1.1239999532699585,1.1689014434814453,6.129446387290955,6.104889392852783
1.7421875,6.0512776374816895,5.974520683288574,5.749636650085449,5.725423812866211,6.225341320037842,6.164670944213867,6.49258279800415,6.525439262390137,1.2450000047683716,1.1721010208129883,1.1080000400543213,1.1059867143630981,6.129709601402283,6.097513675689697
1.765625,5.997861385345459,5.941163539886475,5.725575923919678,5.6939849853515625,6.194240570068359,6.121566295623779,6.408579349517822,6.4794721603393555,1.2660000324249268,1.1662979125976562,1.0980000495910645,1.0778350830078125,6.08156430721283,6.059046745300293
1.7890625,6.03779935836792,5.944356918334961,5.632002830505371,5.666522979736328,6.163573265075684,6.109098434448242,6.544506549835205,6.496644973754883,1.2920000553131104,1.2495063543319702,1.090999960899353,1.1065382957458496,6.094470500946045,6.0541558265686035
1.8046875,6.011092185974121,5.918340682983398,5.6666035652160645,5.656502723693848,6.1183600425720215,6.078519821166992,6.408579349517822,6.442767143249512,1.3070000410079956,1.2198545932769775,1.090000033378601,1.0529849529266357,6.051158785820007,6.0240325927734375
1.828125,5.984711170196533,5.910935401916504,5.6666035652160645,5.645405292510986,6.148398399353027,6.052737236022949,6.32757043838501,6.42246675491333,1.3289999961853027,1.214202880859375,1.090000033378601,1.0277619361877441,6.031820893287659,6.007886171340942
1.84375,6.0512776374816895,5.883233547210693,5.586744785308838,5.611999034881592,6.059494495391846,5.99818229675293,6.343541622161865,6.3761138916015625,1.3509999513626099,1.2577095031738281,1.0880000591278076,0.9699823260307312,6.01026463508606,5.967382192611694
1.8671875,6.011092185974121,5.899174213409424,5.586744785308838,5.601012229919434,6.059494495391846,6.003397464752197,6.4755330085754395,6.406515121459961,1.371000051498413,1.3242435455322266,1.0839999914169312,0.994836151599884,6.033216118812561,5.977524757385254
1.890625,5.971640586853027,5.9054341316223145,5.586744785308838,5.592898845672607,6.030648231506348,5.984735488891602,6.392144203186035,6.403581619262695,1.3949999809265137,1.364169955253601,1.0720000267028809,0.9521802067756653,5.995294451713562,5.971662521362305
1.90625,5.971640586853027,5.8887224197387695,5.586744785308838,5.561355113983154,5.988085746765137,5.945075035095215,6.343541622161865,6.379856109619141,1.4129999876022339,1.4061927795410156,1.059000015258789,0.9319588541984558,5.972503185272217,5.94375216960907
1.9296875,5.9328999519348145,5.879060745239258,5.564481258392334,5.541965961456299,6.002180576324463,5.945181846618652,6.408579349517822,6.387487411499023,1.4329999685287476,1.4257826805114746,1.0429999828338623,0.971606969833374,5.977035284042358,5.938423991203308
1.953125,5.907456398010254,5.859895706176758,5.531529426574707,5.518509864807129,5.905401706695557,5.902353763580322,6.280324459075928,6.347860813140869,1.4550000429153442,1.441784381866455,1.0210000276565552,0.9224882125854492,5.906177997589111,5.9071550369262695
1.9765625,5.9328999519348145,5.839807987213135,5.48839807510376,5.4923248291015625,5.974082946777344,5.898114204406738,6.295962810516357,6.336609840393066,1.475000023841858,1.4446855783462524,1.0,0.9539568424224854,5.922835946083069,5.8917142152786255
1.9921875,5.8948469161987305,5.820100784301758,5.520661354064941,5.47437858581543,5.838855266571045,5.853039741516113,6.311711311340332,6.296295642852783,1.496999979019165,1.4665908813476562,0.9779999852180481,0.8979653716087341,5.891518712043762,5.860953688621521
2.015625,5.907456398010254,5.811135292053223,5.477755546569824,5.447082996368408,5.878533840179443,5.846562385559082,6.32757043838501,6.304168224334717,1.5160000324249268,1.5106277465820312,0.9580000042915344,0.9351938962936401,5.897829055786133,5.852237224578857
2.0390625,5.8451433181762695,5.802372932434082,5.48839807510376,5.452980995178223,5.932611465454102,5.858255863189697,6.311711311340332,6.298312187194824,1.5379999876022339,1.4615392684936523,0.9369999766349792,0.9429665207862854,5.894466042518616,5.8529804944992065
