time_s,d1_true,d1_pred,d2_true,d2_pred,d3_true,d3_pred,d4_true,d4_pred,pitch_true,pitch_pred,roll_true,roll_pred,d_mean_true,d_mean_pred
1.328125,6.386640548706055,6.256133079528809,7.135992050170898,7.039199352264404,7.002533435821533,6.90602970123291,6.688968181610107,6.4335432052612305,-2.0460000038146973,-2.3291187286376953,0.0,0.07579562813043594,6.803533554077148,6.658726334571838
1.34375,6.37095308303833,6.252579689025879,7.113702774047852,7.025666236877441,7.024624824523926,6.911710739135742,6.597629070281982,6.439917087554932,-2.0339999198913574,-2.309091091156006,0.0,0.10952930152416229,6.7767274379730225,6.6574684381484985
1.3671875,6.294128894805908,6.239121437072754,7.204127311706543,6.9938764572143555,6.832871913909912,6.8800811767578125,6.597629070281982,6.422224998474121,-2.0179996490478516,-2.238748073577881,0.0,0.08221711218357086,6.732189297676086,6.633826017379761
1.38671875,6.355375289916992,6.251931190490723,7.1812005043029785,7.018668174743652,6.958958625793457,6.900995254516602,6.49258279800415,6.431996822357178,-2.001999855041504,-2.292189598083496,0.0,0.08781503885984421,6.7470293045043945,6.650897860527039
1.40625,6.3245415687561035,6.274171829223633,7.227274417877197,7.032742023468018,6.895069122314453,6.891964912414551,6.633734226226807,6.439630508422852,-1.9859999418258667,-2.258315086364746,0.0,0.038031335920095444,6.77015483379364,6.659627318382263
1.4296875,6.309283256530762,6.285538673400879,7.158490180969238,7.0501837730407715,7.002533435821533,6.917670249938965,6.579785346984863,6.454666614532471,-1.970999836921692,-2.3015084266662598,0.0,0.05517558380961418,6.762523055076599,6.6770148277282715
1.44921875,6.234527111053467,6.231363296508789,7.158490180969238,7.0089216232299805,7.002533435821533,6.879194259643555,6.4755330085754395,6.40211296081543,-1.9550000429153442,-2.334296226501465,0.0,0.07191351801156998,6.717770934104919,6.6303980350494385
1.46875,6.264127254486084,6.249085426330566,7.135992050170898,7.033545970916748,6.980645656585693,6.895503997802734,6.527068138122559,6.422245979309082,-1.9379998445510864,-2.371915340423584,0.0,0.08740522712469101,6.726958274841309,6.650095343589783
1.4921875,6.279077529907227,6.205969333648682,7.091620445251465,6.98390007019043,6.937469005584717,6.8515706062316895,6.49258279800415,6.36817741394043,-1.9229999780654907,-2.350147247314453,0.0,0.08181505650281906,6.70018744468689,6.602404356002808
1.51171875,6.33990478515625,6.228736877441406,7.113702774047852,7.0031890869140625,6.980645656585693,6.864501953125,6.509760856628418,6.394277572631836,-1.908000111579895,-2.352137565612793,0.0,0.10410749167203903,6.736003518104553,6.622676372528076
